,pk,popularity,title,vote_count,vote_average,genres,director,genres_literal,weighted_vote
31,768744,1352.93,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,,7.4,"['Animation', 'Action', 'Fantasy', 'Adventure']",Masafumi Mima,Animation Action Fantasy Adventure,
32,823625,1285.804,블랙라이트,,6.2,"['Action', 'Thriller']",Mary Vernieu,Action Thriller,
33,338953,1465.114,신비한 동물들과 덤블도어의 비밀,,6.7,"['Action', 'Adventure', 'Fantasy']",Anna Pinnock,Action Adventure Fantasy,
34,580489,808.896,베놈 2: 렛 데어 비 카니지,,7.0,"['Science Fiction', 'Action', 'Adventure']",Robert Richardson,Science Fiction Action Adventure,
35,635302,1020.513,귀멸의 칼날 극장판 무한열차편,,8.4,"['Animation', 'Action', 'Adventure', 'Fantasy']",Kazuo Ebisawa,Animation Action Adventure Fantasy,
36,937337,948.99,¡Qué despadre!,,8.2,"['Comedy', 'Family', 'Romance']",Pedro Pablo Ibarra,Comedy Family Romance,
37,801071,997.653,The Jack in the Box: Awakening,,6.3,['Horror'],Lawrence Fowler,Horror,
38,438695,829.83,씽2게더,,8.1,"['Animation', 'Comedy', 'Family', 'Music']",Scarlett Johansson,Animation Comedy Family Music,
39,756187,972.183,'신'데렐라,,6.2,"['Music', 'Comedy', 'Family']",Natalie Hart,Music Comedy Family,
40,524434,716.765,이터널스,,7.1,"['Science Fiction', 'Action', 'Adventure']",Craig Wood,Science Fiction Action Adventure,
41,833425,830.926,출구는 없다,,6.7,"['Horror', 'Thriller']",Scott Frank,Horror Thriller,
42,938596,865.303,Bull Shark,,5.8,['Horror'],Brett Bentman,Horror,
43,566525,696.642,샹치와 텐 링즈의 전설,,7.7,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Sarah Halley Finn,Action Adventure Fantasy Science Fiction,
44,803114,975.693,더 리퀸,,4.7,['Thriller'],Lê Văn Kiệt,Thriller,
45,676705,957.434,Pil,,6.8,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",David Alaux,Adventure Animation Comedy Family Fantasy,
46,760868,1052.037,블랙 크랩,,6.3,"['Action', 'Thriller']",Adam Berg,Action Thriller,
47,476669,752.638,킹스맨: 퍼스트 에이전트,,6.9,"['Action', 'Adventure', 'Thriller', 'War', 'Mystery']",Doug J. Meerdink,Action Adventure Thriller War Mystery,
48,459151,574.802,보스 베이비 2,,7.6,"['Animation', 'Comedy', 'Adventure', 'Family']",Hans Zimmer,Animation Comedy Adventure Family,
49,800510,947.216,키미,,6.2,['Thriller'],Cliff Martinez,Thriller,
50,678287,805.217,마마듀크,,5.6,"['Animation', 'Family', 'Comedy']",Kenneth Burgomaster,Animation Family Comedy,
51,460458,725.309,레지던트 이블: 라쿤시티,,6.2,"['Horror', 'Action', 'Science Fiction']",Paul W. S. Anderson,Horror Action Science Fiction,
52,646385,586.318,스크림,,6.8,"['Horror', 'Mystery', 'Thriller']",Cathy Konrad,Horror Mystery Thriller,
53,892153,660.806,Tom and Jerry Cowboy Up!,,7.0,"['Animation', 'Comedy', 'Family', 'Western']",Joseph Barbera,Animation Comedy Family Western,
54,778106,496.596,여름밤을 달려봐,,6.8,"['Romance', 'Drama']",Sarah Dessen,Romance Drama,
55,632727,606.674,텍사스 전기톱 학살 2022,,5.2,"['Horror', 'Thriller']",Tobe Hooper,Horror Thriller,
56,425909,608.407,고스트 버스터즈 라이즈,,7.7,"['Fantasy', 'Comedy', 'Adventure']",John Papsidera,Fantasy Comedy Adventure,
57,843241,690.279,일곱 개의 대죄: 빛에 저주받은 자들,,7.9,"['Animation', 'Fantasy']",Takayuki Hamana,Animation Fantasy,
58,860623,641.031,라스트 맨 다운,,6.3,"['Action', 'Thriller']",Alexander Arntzen,Action Thriller,
59,864116,636.359,데이 투 다이,,5.6,"['Action', 'Thriller', 'Crime']",Andrew van den Houten,Action Thriller Crime,
60,19995,477.272,아바타,,7.5,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Stephen E. Rivkin,Action Adventure Fantasy Science Fiction,
61,585245,582.764,클리포드 더 빅 레드 독,,7.3,"['Family', 'Adventure', 'Comedy', 'Fantasy']",Naomi Shohan,Family Adventure Comedy Fantasy,
62,949270,629.038,포티 이어스 영,,6.1,['Comedy'],Eckehardt Von Damm,Comedy,
63,935819,613.817,"¿Nos casamos? Sí, mi amor",,2.0,"['Comedy', 'Romance']",Yiddá Eslava,Comedy Romance,
64,760926,840.547,골드,,6.4,"['Thriller', 'Action']",Frank Lipson,Thriller Action,
65,1865,460.886,캐리비안의 해적: 낯선 조류,,6.5,"['Adventure', 'Action', 'Fantasy']",Dariusz Wolski,Adventure Action Fantasy,
66,58,457.483,캐리비안의 해적: 망자의 함,,7.3,"['Adventure', 'Fantasy', 'Action']",Dariusz Wolski,Adventure Fantasy Action,
67,926899,567.825,더 하우스,,7.0,"['Animation', 'Drama', 'Comedy', 'Horror', 'Fantasy']",Gustavo Santaolalla,Animation Drama Comedy Horror Fantasy,
68,361743,784.584,탑 건: 매버릭,,7.9,"['Action', 'Drama']",Jerry Bruckheimer,Action Drama,
69,656663,494.592,잭애스 포에버,,7.0,"['Comedy', 'Action', 'Documentary']",Spike Jonze,Comedy Action Documentary,
70,818750,495.361,인 비트윈,,7.1,"['Romance', 'Science Fiction', 'Drama']",Marc Klein,Romance Science Fiction Drama,
71,624860,542.502,매트릭스: 리저렉션,,6.7,"['Science Fiction', 'Action', 'Adventure']",Tom Tykwer,Science Fiction Action Adventure,
72,860159,542.558,크러쉬,,7.5,"['Comedy', 'Romance']",Natasha Lyonne,Comedy Romance,
73,928381,535.769,레스틀리스,,6.0,"['Action', 'Thriller', 'Crime']",Baxter,Action Thriller Crime,
74,454626,667.082,수퍼 소닉,,7.4,"['Action', 'Science Fiction', 'Comedy', 'Family']",Jeanne McCarthy,Action Science Fiction Comedy Family,
75,22,399.351,캐리비안의 해적: 블랙펄의 저주,,7.8,"['Adventure', 'Fantasy', 'Action']",Arthur Schmidt,Adventure Fantasy Action,
76,460465,330.932,모탈 컴뱃,,7.2,"['Action', 'Fantasy', 'Adventure']",James Wan,Action Fantasy Adventure,
77,698508,440.38,리디밍 러브,,7.6,"['Drama', 'History', 'Romance']",Johnny Breedt,Drama History Romance,
78,512195,504.527,레드 노티스,,6.8,"['Action', 'Comedy', 'Crime', 'Thriller']",Beau Flynn,Action Comedy Crime Thriller,
79,285,397.902,캐리비안의 해적: 세상의 끝에서,,7.2,"['Adventure', 'Fantasy', 'Action']",Dariusz Wolski,Adventure Fantasy Action,
80,783461,597.592,루프 라페타,,6.3,"['Action', 'Comedy', 'Crime']",Tom Tykwer,Action Comedy Crime,
81,870671,484.338,더 헌팅,,4.9,['Horror'],Mark Andrew Hamer,Horror,
82,550988,362.767,프리 가이,,7.7,"['Comedy', 'Action', 'Adventure', 'Science Fiction']",Ronna Kress,Comedy Action Adventure Science Fiction,
83,753232,644.989,코만도,,6.5,"['Action', 'Crime', 'Thriller']",Philip Tan,Action Crime Thriller,
84,877183,476.957,심슨 가족의 플러스 기념일,,6.6,"['Animation', 'Comedy', 'Fantasy']",David Silverman,Animation Comedy Fantasy,
85,829358,359.086,Queen of Spades,,6.5,['Horror'],John Ainslie,Horror,
86,661231,361.21,민스미트 작전,,6.7,"['War', 'History', 'Drama']",Thomas Newman,War History Drama,
